method,episodes,objective_mean,objective_ci_low,objective_ci_high,objective_median,total_latency_ms_mean,total_latency_ms_ci_low,total_latency_ms_ci_high,total_latency_ms_median,compute_latency_ms_mean,compute_latency_ms_ci_low,compute_latency_ms_ci_high,compute_latency_ms_median,communication_latency_ms_mean,communication_latency_ms_ci_low,communication_latency_ms_ci_high,communication_latency_ms_median,energy_mean,energy_ci_low,energy_ci_high,energy_median,device_switches_mean,device_switches_ci_low,device_switches_ci_high,device_switches_median,memory_violations_mean,memory_violations_ci_low,memory_violations_ci_high,memory_violations_median,decision_runtime_us_per_layer_mean,decision_runtime_us_per_layer_ci_low,decision_runtime_us_per_layer_ci_high,decision_runtime_us_per_layer_median,gap_vs_best_pct_mean,gap_vs_best_pct_ci_low,gap_vs_best_pct_ci_high,gap_vs_best_pct_median,gap_vs_dp_bound_pct_mean,gap_vs_dp_bound_pct_ci_low,gap_vs_dp_bound_pct_ci_high,gap_vs_dp_bound_pct_median
random,300,1.1807291352632374,1.1121583786334184,1.2492998918930565,1.0379424931175536,10410.925722484531,9104.562039552755,11717.289405416308,7961.655283804264,8087.36100771006,6794.4747710176,9380.24724440252,5263.706915055447,2323.5647147744708,2110.702204750521,2536.4272247984204,1683.5112870153382,27.765660739614262,26.562666873027204,28.96865460620132,25.82492878586445,6.776666666666666,6.630029516846213,6.9233038164871195,7.0,0.0,0.0,0.0,0.0,6.411349827734132,6.3149575848495685,6.507742070618696,6.189604755491018,163.21854886576733,146.51821049729202,179.91888723424265,128.24613359149163,181.1540745334335,163.04533839240202,199.26281067446496,145.0906598472303
round_robin,300,0.9916095938244219,0.9780708281273929,1.005148359521451,0.9741702717792403,8324.856362145647,7938.235325253199,8711.477399038095,7553.0437349694375,6528.147774976079,6156.185541227674,6900.110008724484,5739.965092644482,1796.7085871695688,1705.560554593549,1887.8566197455884,1642.4987090984941,25.75260872029911,24.78528925752905,26.71992818306917,25.646311270959835,9.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,1.5295198730503519,1.4664311124577316,1.5926086336429721,1.404306385666132,119.79007219757769,115.82101234719165,123.75913204796372,117.3163679669214,134.82037026771033,130.34691314606144,139.29382738935922,130.9797380512037
greedy_fastest_device,300,0.6960828458392495,0.6853126910626104,0.7068530006158886,0.6787785379033489,1440.720891312902,1375.9659922472229,1505.4757903785812,1292.0674736167564,546.4326923605607,523.7529672632919,569.1124174578296,527.3390098065353,894.2881989523412,831.628269730881,956.9481281738014,744.8442061948892,46.826172524488584,44.99311125691156,48.659233792065606,45.885681797979586,0.006666666666666667,-0.0064528644604377955,0.01978619779377113,0.0,0.0,0.0,0.0,0.0,3.1206896916652718,3.050421004520007,3.1909583788105365,2.9166461899876595,54.53104629300037,51.41340126756153,57.64869131843921,53.32476926096311,64.80356628097358,61.550033671698195,68.05709889024898,63.413162956614194
greedy_communication_aware,300,0.5301845974469815,0.5255613567041368,0.5348078381898262,0.5346109549535486,1127.8614434747867,1096.633405863441,1159.0894810861323,1122.1399981713507,952.8991886456245,924.27919522896,981.5191820622889,958.6838284863438,174.96225482916228,168.0274503204268,181.89705933789776,171.31593418641708,40.11161093805187,38.4755890372958,41.74763283880794,39.42706210408342,0.98,0.9374777057623995,1.0225222942376004,1.0,0.0,0.0,0.0,0.0,3.608511722025772,3.3985279864048614,3.8184954576466827,3.320752875879407,17.172691372398816,15.783570936673383,18.56181180812425,14.348313801900137,25.228530684219507,23.54829012671339,26.908771241725624,23.593223293310704
greedy_objective_aware,300,0.45825365178925476,0.45249273937562146,0.46401456420288806,0.4573498653273044,2728.2247047905903,2628.1700873948603,2828.2793221863203,2664.638441279791,2641.2159301629026,2541.1414028089202,2741.290457516885,2587.347611547346,87.00877462768716,82.479474937919,91.53807431745533,81.35062260045056,24.60432502459777,23.356387579641787,25.852262469553754,22.220746566883466,0.6633333333333333,0.5972994448456243,0.7293672218210424,1.0,0.0,0.0,0.0,0.0,2.979014301672578,2.953157035038422,3.0048715683067337,2.9146496672183275,0.4510880642233702,0.23663319642845734,0.6655429320182831,0.0,7.259835136815512,6.757353783194377,7.762316490436646,6.875656024337998
supervised_rf,300,0.4612199951319182,0.4553501832322059,0.4670898070316305,0.4604879313757076,2968.7053646022714,2858.475471839613,3078.93525736493,2991.0374011193526,2885.6200503278515,2775.016173271446,2996.223927384257,2902.4437470302846,83.0853142744194,78.51555405744014,87.65507449139866,75.89098196548188,23.33871593485452,22.161735609671098,24.51569626003794,21.663178232688985,0.4766666666666667,0.41832518177335043,0.5350081515599829,0.0,0.0,0.0,0.0,0.0,6034.351357840933,5949.37617546108,6119.326540220786,5954.22494225204,1.083354812870693,0.8779548393751294,1.2887547863662565,0.2458939831423987,7.9194060993625195,7.46446262070653,8.37434957801851,7.291486325967142
tabular_q,300,0.5855744276301333,0.5746561923927744,0.5964926628674923,0.5860025756952308,3114.0017080857,2871.1731540810315,3356.8302620903687,2864.046170151313,2965.2809805244883,2723.3375275456456,3207.224433503331,2691.0096552754517,148.72072756121182,140.8623046696182,156.57915045280544,144.28854723940833,33.18712258793161,31.905786059993908,34.468459115869315,32.50344428246878,1.27,1.1679673949805174,1.3720326050194827,2.0,0.0,0.0,0.0,0.0,15.727821737527847,15.562525527007786,15.893117948047909,15.391554916277526,29.22277798841813,26.741119993474868,31.704435983361392,26.585840027990688,38.22068957526151,35.313131083787475,41.128248066735544,34.28244644368391
tabular_q_pooled,300,0.48008132147495475,0.4752138160795568,0.4849488268703527,0.47788427141452566,2309.924618559963,2227.836669562011,2392.012567557915,2271.0476448867985,2214.0622648780973,2132.08089895132,2296.0436308048747,2176.528847054824,95.86235368186561,91.22150872880977,100.50319863492146,87.35272382094365,28.744020419650564,27.64004670716162,29.847994132139508,28.03190087349386,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,15.91037194399784,15.75497178751696,16.065772100478718,15.470845391973853,5.656583168762133,4.909511484263919,6.403654853260346,3.353547605052956,12.8200140437633,11.892605019335656,13.747423068190942,11.623275773529045
dqn,300,0.4564268806278253,0.4508327767480734,0.4620209845075772,0.4568973674782698,2562.4382844902866,2457.251229547624,2667.625339432949,2555.382682064602,2471.518195151266,2365.7178344378567,2577.318555864675,2449.2938413460997,90.92008933902021,85.87062751087953,95.96955116716089,83.54196293291415,25.453811468153418,24.13974973905223,26.767873197254605,23.262743480066106,0.6433333333333333,0.5631713748196595,0.7234952918470071,1.0,0.0,0.0,0.0,0.0,37.165426881983876,31.017597497821853,43.3132562661459,33.13958295620978,0.06538529731953542,0.039649175131634434,0.09112141950743641,0.0,6.861217509090464,6.3739843720224965,7.348450646158431,6.715155574899763
dp_relaxed,300,0.4726338011256317,0.4649231200500866,0.48034448220117676,0.4658305877749756,3572.9295759588726,3352.254653669264,3793.6044982484814,3329.360331292777,3490.857161472871,3269.3289670786935,3712.385355867049,3245.4748823634923,82.07241448600098,77.1769361878447,86.96789278415726,72.68135719053558,20.882859248674162,19.832221272523697,21.933497224824627,19.207125561172674,0.05,0.021929846587845046,0.07807015341215495,0.0,0.0,0.0,0.0,0.0,33.434806119961046,33.20838252400639,33.6612297159157,32.83335245214403,3.3532401617357683,2.6777952480023197,4.028685075469217,0.085644541178629,10.397877314244258,9.47889234275458,11.316862285733936,9.087725759432539
